District,Taluk,Crop,Soil,Irrigation,AgriculturalArea,DroneZone,Latitude,Longitude
Cuddalore,Neyveli,Millet,Red Soil,Tank,36233,Green,11.7089,79.5512
Erode,Sathyamangalam,Paddy,Red Soil,Borewell,77719,Green,11.5250,77.2383
Dindigul,Palani,Sugarcane,Red Loam,Tank,28638,Green,10.4500,77.5200
Tiruchirappalli,Musiri,Cotton,Red Loam,Canal,85047,Outer Yellow,10.9500,78.4500
Namakkal,Senthamangalam,Groundnut,Red Soil,Tank,73418,Green,11.2500,78.1700
Madurai,Peraiyur,Paddy,Alluvial,Canal,80264,Inner Yellow,9.7500,77.8000
Sivaganga,Devakottai,Turmeric,Red Soil,Canal,45540,Green,9.9500,78.8200
Ramanathapuram,Paramakudi,Turmeric,Red Soil,Canal,54816,Green,9.5500,78.5800
Theni,Bodinayakanur,Maize,Black Soil,Borewell,32506,Green,10.0200,77.3500
Nagapattinam,Vedaranyam,Vegetables,Red Soil,Tank,21582,Green,10.3700,79.8500
Villupuram,Sankarapuram,Millet,Red Loam,Canal,73178,Green,11.8300,78.9500
Cuddalore,Kattumannarkoil,Paddy,Black Soil,Borewell,60118,Outer Yellow,11.3300,79.7300
Madurai,Usilampatti,Cotton,Alluvial,Borewell,68191,Inner Yellow,9.9700,77.8000
Krishnagiri,Hosur,Paddy,Alluvial,Borewell,39889,Outer Yellow,12.7200,77.8200
Salem,Attur,Millet,Red Loam,Canal,29100,Green,11.6000,78.6000
Cuddalore,Chidambaram,Groundnut,Alluvial,Canal,71249,Inner Yellow,11.4000,79.7000
Thanjavur,Papanasam,Sugarcane,Red Loam,Tank,73627,Outer Yellow,10.9300,79.2700
Thanjavur,Kumbakonam,Turmeric,Black Soil,Tank,53551,Green,10.9700,79.3800
Theni,Uthamapalayam,Banana,Black Soil,Tank,80380,Green,9.8000,77.3300
Madurai,Usilampatti,Vegetables,Red Loam,Tank,48329,Green,9.9700,77.8000
Thanjavur,Orathanadu,Banana,Alluvial,Borewell,88033,Outer Yellow,10.6200,79.2700
Chennai,Alandur,Urban,Urban,None,902,Red,13.0100,80.2000
Chennai,Alandur,Urban,Urban,None,1036,Red,13.0100,80.2000
Erode,Gobichettipalayam,Paddy,Red Soil,Canal,55957,Inner Yellow,11.4600,77.4500
Dindigul,Nilakottai,Turmeric,Black Soil,Canal,56942,Outer Yellow,10.1700,77.8500
Cuddalore,Neyveli,Maize,Red Loam,Canal,31825,Green,11.6100,79.4800
Virudhunagar,Tiruchuli,Cotton,Red Loam,Borewell,86676,Green,9.5300,78.2300
Chennai,Sholinganallur,Urban,Urban,None,1999,Red,12.9000,80.2200
Namakkal,Kolli Hills,Vegetables,Black Soil,Canal,82161,Inner Yellow,11.2800,78.3300
Ramanathapuram,Kadaladi,Banana,Alluvial,Canal,24447,Green,9.2800,78.5200
Ramanathapuram,Paramakudi,Banana,Red Loam,Canal,80019,Green,9.5500,78.5800
Coimbatore,Sulur,Coconut,Black Soil,Canal,81176,Green,11.0300,77.1300
Villupuram,Kallakurichi,Banana,Alluvial,Tank,69774,Inner Yellow,11.7300,78.9700
Krishnagiri,Pochampalli,Cotton,Red Loam,Tank,72373,Outer Yellow,12.3500,78.3700
Ramanathapuram,Kadaladi,Groundnut,Red Loam,Canal,33850,Green,9.2800,78.5200
Villupuram,Kallakurichi,Cotton,Red Loam,Tank,85458,Green,11.7300,78.9700
Namakkal,Tiruchengode,Maize,Red Soil,Tank,75202,Green,11.3800,77.9000
Theni,Uthamapalayam,Sugarcane,Black Soil,Canal,62820,Green,9.8000,77.3300
Tiruchirappalli,Manapparai,Paddy,Red Soil,Tank,16853,Green,10.6200,78.4200
Salem,Sankari,Vegetables,Black Soil,Tank,31150,Green,11.4800,77.8700
Tirunelveli,Sankarankovil,Coconut,Red Loam,Borewell,16173,Green,9.1700,77.5300
Vellore,Katpadi,Groundnut,Red Loam,Canal,87826,Green,12.9700,79.1300
Krishnagiri,Uthangarai,Coconut,Red Loam,Canal,75513,Green,12.2700,78.5300
Erode,Sathyamangalam,Maize,Alluvial,Tank,43372,Green,11.5250,77.2383
Tiruchirappalli,Srirangam,Coconut,Red Loam,Tank,47997,Outer Yellow,10.8700,78.7000
Dindigul,Nilakottai,Turmeric,Alluvial,Borewell,38180,Inner Yellow,10.1700,77.8500
Thanjavur,Peravurani,Paddy,Red Soil,Canal,79552,Green,10.3000,79.1800
Nagapattinam,Vedaranyam,Paddy,Red Loam,Borewell,69406,Inner Yellow,10.3700,79.8500
Krishnagiri,Pochampalli,Paddy,Red Loam,Borewell,72370,Green,12.3500,78.3700
Dindigul,Oddanchatram,Cotton,Alluvial,Tank,48433,Inner Yellow,10.5000,77.7500
Tiruchirappalli,Manapparai,Banana,Black Soil,Canal,74928,Outer Yellow,10.6200,78.4200
Salem,Attur,Vegetables,Alluvial,Canal,32845,Outer Yellow,11.6000,78.6000
Nagapattinam,Mayiladuthurai,Coconut,Red Loam,Borewell,55844,Inner Yellow,11.1000,79.6500
Theni,Bodinayakanur,Cotton,Alluvial,Canal,38812,Green,10.0200,77.3500
Cuddalore,Panruti,Turmeric,Red Loam,Canal,41870,Inner Yellow,11.7800,79.5500
Ramanathapuram,Kamuthi,Turmeric,Alluvial,Canal,58325,Outer Yellow,9.4000,78.3700
Coimbatore,Mettupalayam,Groundnut,Black Soil,Borewell,71321,Outer Yellow,11.3000,76.9300
Thanjavur,Pattukkottai,Vegetables,Alluvial,Canal,85829,Green,10.4200,79.3200
Tirunelveli,Ambasamudram,Coconut,Black Soil,Tank,76210,Inner Yellow,8.7000,77.4700
Nagapattinam,Vedaranyam,Sugarcane,Black Soil,Canal,18069,Green,10.3700,79.8500
Tirunelveli,Cheranmahadevi,Coconut,Red Soil,Canal,21558,Outer Yellow,8.6800,77.5700
Salem,Mettur,Maize,Black Soil,Borewell,28484,Green,11.8000,77.8000
Cuddalore,Chidambaram,Turmeric,Red Soil,Canal,51959,Green,11.4000,79.7000
Karur,Kulithalai,Turmeric,Red Loam,Borewell,78495,Green,10.9300,78.4200
Thanjavur,Orathanadu,Millet,Alluvial,Tank,81273,Outer Yellow,10.6200,79.2700
Namakkal,Kolli Hills,Millet,Black Soil,Canal,58270,Inner Yellow,11.2800,78.3300
Namakkal,Senthamangalam,Millet,Red Soil,Borewell,15885,Outer Yellow,11.2500,78.1700
Theni,Bodinayakanur,Sugarcane,Black Soil,Canal,41593,Inner Yellow,10.0200,77.3500
Virudhunagar,Sattur,Millet,Alluvial,Canal,80110,Outer Yellow,9.3700,77.9200
Namakkal,Paramathi Velur,Turmeric,Red Soil,Tank,77472,Green,11.2200,78.0200
Namakkal,Paramathi Velur,Banana,Alluvial,Tank,25609,Green,11.2200,78.0200
Coimbatore,Pollachi,Coconut,Red Loam,Tank,48575,Green,10.6700,77.0200
Dindigul,Vedasandur,Millet,Black Soil,Tank,72387,Green,10.5300,77.9500
Krishnagiri,Pochampalli,Banana,Black Soil,Tank,16131,Green,12.3500,78.3700
Thanjavur,Orathanadu,Coconut,Alluvial,Canal,87971,Green,10.6200,79.2700
Virudhunagar,Aruppukkottai,Sugarcane,Black Soil,Tank,41991,Outer Yellow,9.5200,78.1000
Virudhunagar,Tiruchuli,Sugarcane,Black Soil,Borewell,69082,Inner Yellow,9.5300,78.2300
Salem,Edappadi,Paddy,Red Loam,Canal,62378,Green,11.5700,77.8500
Dindigul,Palani,Maize,Alluvial,Tank,77759,Green,10.4500,77.5200
Karur,Kadavur,Coconut,Black Soil,Tank,66544,Outer Yellow,10.8300,78.2300
Nagapattinam,Kilvelur,Turmeric,Alluvial,Borewell,75412,Green,10.7700,79.7500
Salem,Edappadi,Groundnut,Red Soil,Tank,80021,Green,11.5700,77.8500
Vellore,Arcot,Cotton,Alluvial,Borewell,49580,Green,12.9000,79.3200
Vellore,Arcot,Banana,Black Soil,Tank,29759,Green,12.9000,79.3200
Coimbatore,Pollachi,Groundnut,Red Loam,Borewell,86490,Outer Yellow,10.6700,77.0200
Thanjavur,Peravurani,Vegetables,Alluvial,Tank,46913,Outer Yellow,10.3000,79.1800
Villupuram,Tindivanam,Turmeric,Black Soil,Canal,53542,Inner Yellow,12.2500,79.6500
Nagapattinam,Vedaranyam,Vegetables,Red Loam,Borewell,16836,Green,10.3700,79.8500
Coimbatore,Sulur,Banana,Black Soil,Canal,34593,Green,11.0300,77.1300
Madurai,Peraiyur,Groundnut,Red Soil,Canal,70996,Outer Yellow,9.7500,77.8000
Coimbatore,Sulur,Millet,Alluvial,Canal,79149,Outer Yellow,11.0300,77.1300
Karur,Thanthoni,Sugarcane,Red Loam,Tank,24488,Green,10.9500,78.0800
Tiruchirappalli,Lalgudi,Turmeric,Black Soil,Tank,48046,Inner Yellow,10.8700,78.8200
Vellore,Vaniyambadi,Sugarcane,Red Loam,Tank,77193,Green,12.6800,78.6200
Vellore,Anaicut,Turmeric,Alluvial,Borewell,34870,Inner Yellow,12.9300,79.2500
Tirunelveli,Nanguneri,Sugarcane,Red Loam,Canal,48480,Green,8.4800,77.6700
Namakkal,Paramathi Velur,Vegetables,Black Soil,Borewell,32571,Outer Yellow,11.2200,78.0200
Namakkal,Paramathi Velur,Vegetables,Alluvial,Borewell,15139,Green,11.2200,78.0200
Madurai,Melur,Vegetables,Red Loam,Canal,33210,Green,10.0300,78.3300
Karur,Kulithalai,Vegetables,Black Soil,Canal,82301,Outer Yellow,10.9300,78.4200
Tiruchirappalli,Lalgudi,Millet,Alluvial,Borewell,38034,Inner Yellow,10.8700,78.8200
Coimbatore,Pollachi,Millet,Black Soil,Borewell,38991,Green,10.6700,77.0200
Villupuram,Sankarapuram,Maize,Black Soil,Tank,88035,Green,11.8300,78.9500
Karur,Kulithalai,Turmeric,Alluvial,Canal,30484,Green,10.9300,78.4200
Villupuram,Gingee,Coconut,Red Soil,Tank,86043,Green,12.2300,79.4200
Thanjavur,Peravurani,Maize,Red Loam,Borewell,85801,Green,10.3000,79.1800
Theni,Cumbum,Turmeric,Red Soil,Canal,19663,Green,9.7300,77.2800
Erode,Gobichettipalayam,Groundnut,Red Soil,Canal,74798,Inner Yellow,11.4600,77.4500
Theni,Bodinayakanur,Turmeric,Red Loam,Canal,89964,Green,10.0200,77.3500
Chennai,Alandur,Urban,Urban,None,1715,Red,13.0100,80.2000
Coimbatore,Pollachi,Cotton,Black Soil,Canal,55287,Inner Yellow,10.6700,77.0200
Theni,Cumbum,Banana,Red Loam,Tank,23654,Green,9.7300,77.2800
Cuddalore,Panruti,Coconut,Black Soil,Canal,75613,Green,11.7800,79.5500
Tiruchirappalli,Manapparai,Paddy,Black Soil,Tank,75622,Outer Yellow,10.6200,78.4200
Namakkal,Paramathi Velur,Maize,Black Soil,Canal,76892,Green,11.2200,78.0200
Karur,Kulithalai,Cotton,Red Soil,Borewell,87679,Inner Yellow,10.9300,78.4200
Tiruchirappalli,Musiri,Groundnut,Red Soil,Tank,52342,Green,10.9500,78.4500
Virudhunagar,Rajapalayam,Cotton,Red Soil,Canal,37907,Outer Yellow,9.4200,77.5700
Namakkal,Paramathi Velur,Vegetables,Red Soil,Canal,45913,Outer Yellow,11.2200,78.0200
Tirunelveli,Ambasamudram,Millet,Red Loam,Tank,43235,Green,8.7000,77.4700
Erode,Kodumudi,Sugarcane,Black Soil,Canal,62179,Outer Yellow,11.0800,77.8800
Salem,Sankari,Banana,Red Loam,Tank,41444,Green,11.4800,77.8700
Krishnagiri,Denkanikottai,Cotton,Alluvial,Canal,16800,Green,12.5300,77.7800
Thanjavur,Peravurani,Turmeric,Black Soil,Tank,47367,Outer Yellow,10.3000,79.1800
Dindigul,Nilakottai,Millet,Black Soil,Canal,29984,Green,10.1700,77.8500
Tirunelveli,Sankarankovil,Sugarcane,Alluvial,Canal,89989,Green,9.1700,77.5300
Namakkal,Paramathi Velur,Sugarcane,Red Soil,Borewell,55574,Green,11.2200,78.0200
Krishnagiri,Uthangarai,Banana,Black Soil,Borewell,31743,Green,12.2700,78.5300
Namakkal,Paramathi Velur,Paddy,Red Soil,Canal,77929,Outer Yellow,11.2200,78.0200
Namakkal,Kolli Hills,Vegetables,Red Loam,Canal,27287,Inner Yellow,11.2800,78.3300
Theni,Andipatti,Banana,Red Soil,Tank,42077,Green,9.9800,77.6200
Namakkal,Paramathi Velur,Maize,Red Soil,Tank,25340,Outer Yellow,11.2200,78.0200
Vellore,Arcot,Turmeric,Red Loam,Borewell,21625,Outer Yellow,12.9000,79.3200
Salem,Edappadi,Cotton,Red Soil,Tank,82072,Inner Yellow,11.5700,77.8500
Tirunelveli,Tenkasi,Vegetables,Alluvial,Tank,71150,Green,8.9700,77.3200
Vellore,Gudiyatham,Maize,Black Soil,Borewell,32109,Green,12.9500,78.8700
Virudhunagar,Tiruchuli,Cotton,Black Soil,Tank,16341,Green,9.5300,78.2300
Madurai,Melur,Coconut,Red Loam,Borewell,22088,Green,10.0300,78.3300
Krishnagiri,Bargur,Coconut,Black Soil,Borewell,58398,Green,12.4500,78.3700
Coimbatore,Sulur,Maize,Red Soil,Borewell,85227,Green,11.0300,77.1300
Vellore,Vaniyambadi,Groundnut,Alluvial,Tank,69564,Green,12.6800,78.6200
Erode,Perundurai,Paddy,Black Soil,Borewell,78497,Green,11.2700,77.5800
Sivaganga,Karaikudi,Maize,Red Soil,Canal,35718,Green,10.0800,78.7800
Chennai,Perambur,Urban,Urban,None,1575,Red,13.1100,80.2500
Erode,Sathyamangalam,Banana,Red Loam,Tank,78838,Green,11.5250,77.2383
Virudhunagar,Rajapalayam,Millet,Black Soil,Borewell,78289,Green,9.4200,77.5700
Erode,Gobichettipalayam,Vegetables,Black Soil,Borewell,17230,Green,11.4600,77.4500
Tiruchirappalli,Lalgudi,Sugarcane,Black Soil,Canal,20094,Green,10.8700,78.8200
Villupuram,Vikravandi,Vegetables,Black Soil,Borewell,21853,Green,11.9700,79.5300
Tirunelveli,Tenkasi,Coconut,Black Soil,Borewell,71863,Inner Yellow,8.9700,77.3200
Sivaganga,Devakottai,Millet,Red Loam,Tank,74931,Green,9.9500,78.8200
Dindigul,Vedasandur,Millet,Alluvial,Tank,77938,Inner Yellow,10.5300,77.9500
Madurai,Peraiyur,Banana,Black Soil,Borewell,79458,Outer Yellow,9.7500,77.8000
Villupuram,Sankarapuram,Turmeric,Red Soil,Borewell,38538,Green,11.8300,78.9500
Tirunelveli,Sankarankovil,Cotton,Red Loam,Canal,84561,Outer Yellow,9.1700,77.5300
Karur,Kadavur,Turmeric,Red Loam,Canal,69914,Green,10.8300,78.2300
Cuddalore,Chidambaram,Paddy,Red Soil,Borewell,38086,Green,11.4000,79.7000
Theni,Periyakulam,Sugarcane,Black Soil,Tank,40851,Green,10.1200,77.5500
Chennai,Perambur,Urban,Urban,None,1752,Red,13.1100,80.2500
Villupuram,Kallakurichi,Coconut,Red Loam,Borewell,77366,Inner Yellow,11.7300,78.9700
Sivaganga,Ilayangudi,Coconut,Alluvial,Canal,64304,Inner Yellow,9.6300,78.6300
Karur,Aravakurichi,Cotton,Red Loam,Tank,37088,Green,10.8800,78.1300
Salem,Omalur,Sugarcane,Alluvial,Canal,78445,Green,11.7300,78.0800
Salem,Mettur,Groundnut,Red Soil,Borewell,63971,Green,11.8000,77.8000
Tirunelveli,Nanguneri,Millet,Red Soil,Tank,43228,Outer Yellow,8.4800,77.6700
Tirunelveli,Sankarankovil,Millet,Red Loam,Tank,51469,Green,9.1700,77.5300
Madurai,Usilampatti,Vegetables,Red Soil,Borewell,66322,Green,9.9700,77.8000
Erode,Kodumudi,Maize,Red Loam,Tank,50532,Inner Yellow,11.0800,77.8800
Namakkal,Tiruchengode,Banana,Red Loam,Tank,26598,Green,11.3800,77.9000
Madurai,Vadipatti,Banana,Red Soil,Tank,76588,Green,10.0800,78.4800
Cuddalore,Chidambaram,Sugarcane,Red Soil,Canal,57948,Green,11.4000,79.7000
Coimbatore,Mettupalayam,Banana,Black Soil,Tank,79548,Green,11.3000,76.9300
Coimbatore,Kinathukadavu,Millet,Alluvial,Tank,81354,Green,10.8200,76.9500
Madurai,Tirumangalam,Millet,Red Soil,Canal,77965,Green,9.8200,78.0300
Villupuram,Sankarapuram,Groundnut,Black Soil,Borewell,82105,Green,11.8300,78.9500
Thanjavur,Papanasam,Turmeric,Red Soil,Tank,28415,Green,10.9300,79.2700
Ramanathapuram,Kamuthi,Vegetables,Alluvial,Canal,46212,Inner Yellow,9.4000,78.3700
Virudhunagar,Aruppukkottai,Banana,Red Soil,Canal,49197,Green,9.5200,78.1000
Namakkal,Paramathi Velur,Vegetables,Red Soil,Canal,43195,Inner Yellow,11.2200,78.0200
Nagapattinam,Kilvelur,Sugarcane,Black Soil,Canal,79320,Inner Yellow,10.7700,79.7500
Chennai,Perambur,Urban,Urban,None,558,Red,13.1100,80.2500
Salem,Mettur,Groundnut,Red Loam,Tank,46199,Green,11.8000,77.8000
Theni,Andipatti,Maize,Red Soil,Borewell,75836,Green,9.9800,77.6200
Nagapattinam,Nagore,Cotton,Alluvial,Borewell,27958,Green,10.8200,79.8500
Krishnagiri,Pochampalli,Coconut,Red Loam,Tank,62722,Outer Yellow,12.3500,78.3700
Erode,Sathyamangalam,Turmeric,Black Soil,Borewell,67176,Green,11.5250,77.2383
Nagapattinam,Nagore,Banana,Black Soil,Tank,88473,Green,10.8200,79.8500
Madurai,Peraiyur,Maize,Alluvial,Tank,29562,Outer Yellow,9.7500,77.8000
Karur,Thanthoni,Banana,Black Soil,Tank,19838,Green,10.9500,78.0800
Namakkal,Senthamangalam,Paddy,Alluvial,Borewell,18969,Outer Yellow,11.2500,78.1700
Virudhunagar,Aruppukkottai,Maize,Red Soil,Tank,28642,Green,9.5200,78.1000
Nagapattinam,Mayiladuthurai,Vegetables,Black Soil,Borewell,72809,Outer Yellow,11.1000,79.6500
Karur,Krishnarayapuram,Sugarcane,Red Soil,Canal,79460,Green,10.8800,78.1800
Krishnagiri,Pochampalli,Coconut,Red Soil,Canal,45064,Green,12.3500,78.3700
Thanjavur,Pattukkottai,Vegetables,Black Soil,Borewell,75771,Green,10.4200,79.3200
Vellore,Gudiyatham,Coconut,Alluvial,Canal,49373,Green,12.9500,78.8700
Madurai,Peraiyur,Vegetables,Black Soil,Canal,55618,Green,9.7500,77.8000
Theni,Uthamapalayam,Vegetables,Black Soil,Borewell,89662,Green,9.8000,77.3300
Thanjavur,Kumbakonam,Coconut,Alluvial,Borewell,49935,Green,10.9700,79.3800
Cuddalore,Panruti,Banana,Red Loam,Tank,48176,Green,11.7800,79.5500
Nagapattinam,Vedaranyam,Turmeric,Red Loam,Canal,33850,Inner Yellow,10.3700,79.8500
Krishnagiri,Hosur,Groundnut,Red Soil,Borewell,18450,Green,12.7200,77.8200
Erode,Perundurai,Coconut,Black Soil,Borewell,56161,Green,11.2700,77.5800
Ramanathapuram,Rameswaram,Maize,Red Loam,Canal,33324,Outer Yellow,9.2800,79.3000
Tirunelveli,Ambasamudram,Paddy,Red Soil,Tank,21825,Green,8.7000,77.4700
Thanjavur,Kumbakonam,Paddy,Black Soil,Canal,70253,Green,10.9700,79.3800
Coimbatore,Sulur,Millet,Red Soil,Borewell,45263,Green,11.0300,77.1300
Nagapattinam,Vedaranyam,Millet,Alluvial,Tank,69256,Outer Yellow,10.3700,79.8500
Villupuram,Kallakurichi,Turmeric,Red Loam,Borewell,33255,Green,11.7300,78.9700
Virudhunagar,Tiruchuli,Maize,Red Soil,Canal,87054,Inner Yellow,9.5300,78.2300
Chennai,Tondiarpet,Urban,Urban,None,1877,Red,13.1200,80.2800
Villupuram,Sankarapuram,Cotton,Alluvial,Tank,79346,Green,11.8300,78.9500
Tirunelveli,Nanguneri,Groundnut,Red Loam,Tank,77379,Green,8.4800,77.6700
Ramanathapuram,Mudukulathur,Millet,Black Soil,Tank,55393,Green,9.3700,78.5200
Tiruchirappalli,Manapparai,Maize,Alluvial,Tank,30499,Green,10.6200,78.4200
Thanjavur,Papanasam,Groundnut,Red Loam,Tank,42096,Outer Yellow,10.9300,79.2700
Karur,Aravakurichi,Banana,Black Soil,Tank,21871,Green,10.8800,78.1300
Tirunelveli,Ambasamudram,Sugarcane,Alluvial,Tank,20571,Inner Yellow,8.7000,77.4700
Tiruchirappalli,Manapparai,Paddy,Alluvial,Canal,51013,Outer Yellow,10.6200,78.4200
Namakkal,Senthamangalam,Sugarcane,Red Soil,Borewell,24398,Outer Yellow,11.2500,78.1700
Villupuram,Kallakurichi,Paddy,Red Soil,Canal,68948,Green,11.7300,78.9700
Thanjavur,Kumbakonam,Coconut,Alluvial,Tank,29096,Green,10.9700,79.3800
Namakkal,Senthamangalam,Turmeric,Red Loam,Tank,84951,Inner Yellow,11.2500,78.1700
Nagapattinam,Vedaranyam,Maize,Black Soil,Borewell,29869,Outer Yellow,10.3700,79.8500
Madurai,Tirumangalam,Groundnut,Red Loam,Canal,25492,Green,9.8200,78.0300
Dindigul,Vedasandur,Cotton,Alluvial,Tank,56034,Green,10.5300,77.9500
Chennai,Perambur,Urban,Urban,None,1730,Red,13.1100,80.2500
Virudhunagar,Sattur,Paddy,Red Loam,Canal,40921,Green,9.3700,77.9200
Karur,Krishnarayapuram,Banana,Alluvial,Canal,87607,Green,10.8800,78.1800
Erode,Bhavani,Groundnut,Black Soil,Canal,87755,Inner Yellow,11.4500,77.6800
Tirunelveli,Ambasamudram,Sugarcane,Alluvial,Borewell,45813,Green,8.7000,77.4700
Villupuram,Tindivanam,Turmeric,Red Soil,Tank,73419,Green,12.2500,79.6500
Sivaganga,Manamadurai,Millet,Red Soil,Borewell,67366,Green,9.6800,78.4800
Virudhunagar,Sivakasi,Groundnut,Black Soil,Borewell,68716,Green,9.4500,77.8000
Karur,Krishnarayapuram,Groundnut,Red Soil,Canal,21415,Inner Yellow,10.8800,78.1800
Theni,Cumbum,Banana,Alluvial,Canal,51576,Green,9.7300,77.2800
Tiruchirappalli,Srirangam,Vegetables,Black Soil,Canal,84634,Outer Yellow,10.8700,78.7000
Thanjavur,Papanasam,Millet,Red Loam,Canal,72647,Green,10.9300,79.2700
Ramanathapuram,Paramakudi,Paddy,Red Soil,Canal,63918,Green,9.5500,78.5800
Ramanathapuram,Kadaladi,Paddy,Black Soil,Canal,52298,Outer Yellow,9.2800,78.5200
Erode,Gobichettipalayam,Paddy,Red Loam,Tank,85512,Green,11.4600,77.4500
Karur,Kulithalai,Vegetables,Red Soil,Tank,31740,Green,10.9300,78.4200
Madurai,Peraiyur,Coconut,Red Loam,Canal,48031,Outer Yellow,9.7500,77.8000
Villupuram,Sankarapuram,Coconut,Red Soil,Canal,89473,Outer Yellow,11.8300,78.9500
Vellore,Arcot,Cotton,Alluvial,Borewell,28165,Outer Yellow,12.9000,79.3200
Ramanathapuram,Kamuthi,Paddy,Black Soil,Tank,32656,Green,9.4000,78.3700
Tirunelveli,Sankarankovil,Cotton,Red Soil,Canal,47635,Green,9.1700,77.5300
Vellore,Anaicut,Sugarcane,Black Soil,Canal,75800,Green,12.9300,79.2500
Thanjavur,Peravurani,Cotton,Black Soil,Canal,31538,Inner Yellow,10.3000,79.1800
